"CALC_FOR_STATE_ACCT","Gradespan","DISTRICT","distname","COUNTY","cntyname","REGION","regnname","DIST_ALLN","DIST_ALLR","DIST_ALLD","DIST_MALN","DIST_MALR","DIST_MALD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_WHN","DIST_WHR","DIST_WHD","DIST_PIN","DIST_PIR","DIST_PID","DIST_MUN","DIST_MUR","DIST_MUD","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_BEN","DIST_BER","DIST_BED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_SPEN","DIST_SPER","DIST_SPED"
"Yes","712","001904","Frankston ISD","001","Anderson County","07","Kilgore","-","0.5","<400","-","0.0","<300","-","1.1","<200","0","0.0","47","0","0.0","1","0","0.0","38","0","0.0","4","-","0.7","<300",".",".",".","0","0.0","9","0","0.0","162","0","0.0","2","-","0.5","<400","-","0.4","<300","-","0.5","<300","0","0.0","28",".",".",".","0","0.0","2",".",".",".","0","0.0","75","0","0.0","43"
"No","78","001904","Frankston ISD","001","Anderson County","07","Kilgore","0","0.0","138","0","0.0","70","0","0.0","68","0","0.0","11",".",".",".","0","0.0","16","0","0.0","1","0","0.0","108",".",".",".","0","0.0","2","0","0.0","43","0","0.0","1","0","0.0","138",".",".",".","0","0.0","72","0","0.0","12",".",".",".","0","0.0","1",".",".",".","0","0.0","31","0","0.0","9"
"Yes","78","001904","Frankston ISD","001","Anderson County","07","Kilgore","0","0.0","138","0","0.0","70","0","0.0","68","0","0.0","11",".",".",".","0","0.0","16","0","0.0","1","0","0.0","108",".",".",".","0","0.0","2","0","0.0","43","0","0.0","1","0","0.0","138",".",".",".","0","0.0","72","0","0.0","12",".",".",".","0","0.0","1",".",".",".","0","0.0","31","0","0.0","9"
"No","912","001904","Frankston ISD","001","Anderson County","07","Kilgore","-","0.8","<300","-","0.0","<200","-","1.7","<200","0","0.0","36","0","0.0","1","0","0.0","22","0","0.0","3","-","1.1","<200",".",".",".","0","0.0","7","0","0.0","119","0","0.0","1","-","0.8","<300","-","0.4","<300","-","0.7","<200","0","0.0","16",".",".",".","0","0.0","1",".",".",".","0","0.0","44","0","0.0","35"
"Yes","912","001904","Frankston ISD","001","Anderson County","07","Kilgore","-","0.8","<300","-","0.0","<200","-","1.7","<200","0","0.0","36","0","0.0","1","0","0.0","22","0","0.0","3","-","1.1","<200",".",".",".","0","0.0","7","0","0.0","119","0","0.0","1","-","0.8","<300","-","0.4","<300","-","0.7","<200","0","0.0","16",".",".",".","0","0.0","1",".",".",".","0","0.0","44","0","0.0","34"
"No","712","001906","Neches ISD","001","Anderson County","07","Kilgore","-","0.5","<300","-","0.0","<200","-","0.9","<200","0","0.0","18","0","0.0","2","0","0.0","21",".",".",".","-","0.6","<200",".",".",".","0","0.0","5","0","0.0","59","0","0.0","3","-","0.5","<300","0","0.0","63","-","1.1","<100","0","0.0","13",".",".",".","0","0.0","3",".",".",".","-","1.6","<100","-","3.3","<100"
"Yes","712","001906","Neches ISD","001","Anderson County","07","Kilgore","-","0.5","<300","-","0.0","<200","-","0.9","<200","0","0.0","18","0","0.0","2","0","0.0","21",".",".",".","-","0.6","<200",".",".",".","0","0.0","5","0","0.0","59","0","0.0","3","-","0.5","<300","0","0.0","63","-","1.1","<100","0","0.0","13",".",".",".","0","0.0","3",".",".",".","-","1.6","<100","-","3.3","<100"
"No","78","001906","Neches ISD","001","Anderson County","07","Kilgore","0","0.0","71","0","0.0","38","0","0.0","33","0","0.0","5","0","0.0","1","0","0.0","5",".",".",".","0","0.0","57",".",".",".","0","0.0","3","0","0.0","23",".",".",".","0","0.0","71",".",".",".","0","0.0","33","0","0.0","6",".",".",".",".",".",".",".",".",".","0","0.0","21","0","0.0","12"
"Yes","78","001906","Neches ISD","001","Anderson County","07","Kilgore","0","0.0","71","0","0.0","38","0","0.0","33","0","0.0","5","0","0.0","1","0","0.0","5",".",".",".","0","0.0","57",".",".",".","0","0.0","3","0","0.0","23",".",".",".","0","0.0","71",".",".",".","0","0.0","33","0","0.0","6",".",".",".",".",".",".",".",".",".","0","0.0","21","0","0.0","12"
"No","912","001906","Neches ISD","001","Anderson County","07","Kilgore","-","0.7","<200","-","0.0","<100","-","1.3","<100","0","0.0","13","0","0.0","1","0","0.0","16",".",".",".","-","1.0","<200",".",".",".","0","0.0","2","0","0.0","36","0","0.0","3","-","0.7","<200","0","0.0","63","-","1.7","<100","0","0.0","7",".",".",".","0","0.0","3",".",".",".","-","2.5","<100","-","5.6","<100"
"Yes","912","001906","Neches ISD","001","Anderson County","07","Kilgore","-","0.7","<200","-","0.0","<100","-","1.3","<100","0","0.0","13","0","0.0","1","0","0.0","16",".",".",".","-","1.0","<200",".",".",".","0","0.0","2","0","0.0","36","0","0.0","3","-","0.7","<200","0","0.0","63","-","1.7","<100","0","0.0","7",".",".",".","0","0.0","3",".",".",".","-","2.5","<100","-","5.6","<100"
"No","712","001907","Palestine ISD","001","Anderson County","07","Kilgore","-","0.5","<1,500","-","0.6","<800","-","0.4","<800","-","0.9","<500","0","0.0","12","-","0.2","<600","0","0.0","8","-","0.4","<600",".",".",".","-","5.6","<100","-","0.4","<800","0","0.0","29","-","0.5","<1,500","-","0.4","<600","-","0.4","<1,000","0","0.0","56","0","0.0","8","0","0.0","44","0","0.0","1","-","0.8","<500","-","1.3","<200"
