"DIST_ALLN","DIST_ALLR","DIST_ALLD","DISTRICT","Gradespan","DIST_MALN","DIST_MALR","DIST_MALD","DIST_FEMN","DIST_FEMR","DIST_FEMD","DIST_AAN","DIST_AAR","DIST_AAD","DIST_ASN","DIST_ASR","DIST_ASD","DIST_HSN","DIST_HSR","DIST_HSD","DIST_NAN","DIST_NAR","DIST_NAD","DIST_WHN","DIST_WHR","DIST_WHD","DIST_PIN","DIST_PIR","DIST_PID","DIST_MUN","DIST_MUR","DIST_MUD","DIST_ATRN","DIST_ATRR","DIST_ATRD","DIST_BEN","DIST_BER","DIST_BED","DIST_TTLN","DIST_TTLR","DIST_TTLD","DIST_CTEN","DIST_CTER","DIST_CTED","DIST_ECNN","DIST_ECNR","DIST_ECND","DIST_GFTN","DIST_GFTR","DIST_GFTD","DIST_IMMN","DIST_IMMR","DIST_IMMD","DIST_LEPN","DIST_LEPR","DIST_LEPD","DIST_MIGN","DIST_MIGR","DIST_MIGD","DIST_OVRN","DIST_OVRR","DIST_OVRD","DIST_SPEN","DIST_SPER","DIST_SPED","cntyname","regnname","distname","COUNTY","REGION","CALC_PER_TEC"
"-","0.3","<400","001904","712","-","0.5","<300","-","0.0","<200","0","0.0","56","0","0.0","2","0","0.0","32","0","0.0","3","-","0.4","<300",".",".",".","0","0.0","16","0","0.0","113","0","0.0","2","-","0.3","<400","-","0.5","<200","-","0.5","<300","0","0.0","24","0","0.0","1","0","0.0","1",".",".",".","0","0.0","78","0","0.0","48","Anderson County","Kilgore","Frankston ISD","001","07","Yes"
"0","0.0","140","001904","78","0","0.0","84","0","0.0","56","0","0.0","14",".",".",".","0","0.0","11","0","0.0","1","0","0.0","109",".",".",".","0","0.0","5","0","0.0","36","0","0.0","2","0","0.0","140",".",".",".","0","0.0","78","0","0.0","11","0","0.0","1","0","0.0","1",".",".",".","0","0.0","32","0","0.0","11","Anderson County","Kilgore","Frankston ISD","001","07","No"
"0","0.0","140","001904","78","0","0.0","84","0","0.0","56","0","0.0","14",".",".",".","0","0.0","11","0","0.0","1","0","0.0","109",".",".",".","0","0.0","5","0","0.0","36","0","0.0","2","0","0.0","140",".",".",".","0","0.0","78","0","0.0","11","0","0.0","1","0","0.0","1",".",".",".","0","0.0","32","0","0.0","11","Anderson County","Kilgore","Frankston ISD","001","07","Yes"
"-","0.4","<300","001904","912","-","0.8","<200","-","0.0","<200","0","0.0","42","0","0.0","2","0","0.0","21","0","0.0","2","-","0.6","<200",".",".",".","0","0.0","11","0","0.0","77",".",".",".","-","0.4","<300","-","0.5","<200","-","0.8","<200","0","0.0","13",".",".",".",".",".",".",".",".",".","0","0.0","46","0","0.0","37","Anderson County","Kilgore","Frankston ISD","001","07","No"
"-","0.4","<300","001904","912","-","0.8","<200","-","0.0","<200","0","0.0","42","0","0.0","2","0","0.0","21","0","0.0","2","-","0.6","<200",".",".",".","0","0.0","11","0","0.0","77",".",".",".","-","0.4","<300","-","0.5","<200","-","0.8","<200","0","0.0","13",".",".",".",".",".",".",".",".",".","0","0.0","46","0","0.0","37","Anderson County","Kilgore","Frankston ISD","001","07","Yes"
"0","0.0","203","001906","712","0","0.0","106","0","0.0","97","0","0.0","15","0","0.0","2","0","0.0","18",".",".",".","0","0.0","164",".",".",".","0","0.0","4","0","0.0","61","0","0.0","4","0","0.0","203","0","0.0","51","0","0.0","81","0","0.0","14",".",".",".","0","0.0","4",".",".",".","0","0.0","55","0","0.0","29","Anderson County","Kilgore","Neches ISD","001","07","No"
"0","0.0","203","001906","712","0","0.0","106","0","0.0","97","0","0.0","15","0","0.0","2","0","0.0","18",".",".",".","0","0.0","164",".",".",".","0","0.0","4","0","0.0","61","0","0.0","4","0","0.0","203","0","0.0","51","0","0.0","81","0","0.0","14",".",".",".","0","0.0","4",".",".",".","0","0.0","55","0","0.0","29","Anderson County","Kilgore","Neches ISD","001","07","Yes"
"0","0.0","64","001906","78","0","0.0","34","0","0.0","30","0","0.0","5","0","0.0","1","0","0.0","7",".",".",".","0","0.0","49",".",".",".","0","0.0","2","0","0.0","15","0","0.0","1","0","0.0","64",".",".",".","0","0.0","26","0","0.0","6",".",".",".","0","0.0","1",".",".",".","0","0.0","15","0","0.0","11","Anderson County","Kilgore","Neches ISD","001","07","No"
"0","0.0","64","001906","78","0","0.0","34","0","0.0","30","0","0.0","5","0","0.0","1","0","0.0","7",".",".",".","0","0.0","49",".",".",".","0","0.0","2","0","0.0","15","0","0.0","1","0","0.0","64",".",".",".","0","0.0","26","0","0.0","6",".",".",".","0","0.0","1",".",".",".","0","0.0","15","0","0.0","11","Anderson County","Kilgore","Neches ISD","001","07","Yes"
"0","0.0","139","001906","912","0","0.0","72","0","0.0","67","0","0.0","10","0","0.0","1","0","0.0","11",".",".",".","0","0.0","115",".",".",".","0","0.0","2","0","0.0","46","0","0.0","3","0","0.0","139","0","0.0","51","0","0.0","55","0","0.0","8",".",".",".","0","0.0","3",".",".",".","0","0.0","40","0","0.0","18","Anderson County","Kilgore","Neches ISD","001","07","No"
