District_Id,Year,Fall_Enrollment
7906,2014,1758
7906,2015,1742
7906,2016,1786
7906,2017,1768
7906,2018,1734
7906,2019,1695
8901,2005,2200
8901,2006,2193
8901,2007,2182
8901,2008,2206
8901,2009,2156
8901,2010,2160
8901,2011,2145
8901,2012,2136
8901,2013,2082
8901,2014,2121
8901,2015,2159
8901,2016,2208
8901,2017,2234
8901,2018,2253
8901,2019,2221
8902,2005,2506
8902,2006,2563
8902,2007,2586
8902,2008,2578
8902,2009,2628
8902,2010,2609
8902,2011,2620
8902,2012,2669
8902,2013,2676
8902,2014,2766
8902,2015,2793
8902,2016,2839
8902,2017,2813
8902,2018,2809
8902,2019,2751
8903,2005,820
8903,2006,852
8903,2007,828
8903,2008,833
8903,2009,809
8903,2010,822
8903,2011,821
8903,2012,856
8903,2013,821
8903,2014,822
8903,2015,836
8903,2016,795
8903,2017,799
8903,2018,805
8903,2019,825
9901,2005,1527
9901,2006,1501
9901,2007,1490
9901,2008,1488
9901,2009,1462
9901,2010,1437
9901,2011,1499
9901,2012,1520
9901,2013,1486
9901,2014,1461
9901,2015,1423
9901,2016,1467
9901,2017,1450
9901,2018,1441
9901,2019,1414
10901,2005,357
10901,2006,329
10901,2007,347
10901,2008,359
10901,2009,349
10901,2010,317
10901,2011,302
10901,2012,288
10901,2013,266
10901,2014,270
10901,2015,268
10901,2016,287
10901,2017,298
10901,2018,322
10901,2019,306
10902,2005,2626
10902,2006,2528
10902,2007,2534
10902,2008,2526
10902,2009,2504
10902,2010,2536
10902,2011,2462
10902,2012,2435
10902,2013,2443
10902,2014,2369
10902,2015,2272
10902,2016,2202
10902,2017,2246
10902,2018,2278
10902,2019,2230
11901,2005,7730
11901,2006,7960
11901,2007,8155
11901,2008,8521
11901,2009,8705
11901,2010,8865
11901,2011,9043
11901,2012,9082
11901,2013,9268
11901,2014,9546
11901,2015,9905
11901,2016,10253
11901,2017,10501
11901,2018,10863
11901,2019,11043
11902,2005,3190
11902,2006,3346
11902,2007,3556
11902,2008,3703
11902,2009,3863
11902,2010,3956
11902,2011,3943
11902,2012,4062
11902,2013,4122
11902,2014,4178
11902,2015,4258
11902,2016,4299
11902,2017,4298
11902,2018,4307
11902,2019,4438
11904,2005,1845
11904,2006,1826
11904,2007,1731
11904,2008,1697
11904,2009,1695
11904,2010,1704
11904,2011,1735
11904,2012,1722
11904,2013,1768
11904,2014,1799
11904,2015,1758
11904,2016,1781
11904,2017,1753
11904,2018,1781
11904,2019,1800
11905,2005,249
11905,2006,232
11905,2007,181
11905,2008,189
11905,2009,205
11905,2010,183
11905,2011,186
11905,2012,192
11905,2013,215
11905,2014,210
11905,2015,206
11905,2016,221
11905,2017,343
11905,2018,324
11905,2019,382
12901,2005,620
12901,2006,604
12901,2007,628
12901,2008,580
12901,2009,555
12901,2010,580
12901,2011,575
12901,2012,567
12901,2013,582
12901,2014,570
12901,2015,593
12901,2016,594
12901,2017,594
12901,2018,577
12901,2019,582
13801,2005,223
13801,2006,224
13801,2007,283
13801,2008,299
13801,2009,319
13801,2010,333
13801,2011,361
13801,2012,396
13801,2013,431
13801,2014,434
13801,2015,450
13801,2016,442
13801,2017,443
13801,2018,457
13801,2019,430
13901,2005,3707
13901,2006,3727
13901,2007,3652
13901,2008,3555
13901,2009,3540
13901,2010,3491
13901,2011,3525
13901,2012,3459
13901,2013,3453
13901,2014,3364
13901,2015,3396
13901,2016,3373
13901,2017,3335
13901,2018,3291
13901,2019,3305
13902,2005,155
13902,2006,147
13902,2007,134
13902,2008,139
13902,2009,124
13902,2010,137
13902,2011,162
13902,2012,154
13902,2013,156
13902,2014,164
13902,2015,182
13902,2016,335
13902,2017,317
13902,2018,300
13902,2019,318
13903,2005,380
13903,2006,354
13903,2007,394
13903,2008,415
13903,2009,391
13903,2010,404
13903,2011,411
13903,2012,425
13903,2013,427
13903,2014,438
13903,2015,430
13903,2016,431
13903,2017,408
13903,2018,429
13903,2019,417
13905,2005,698
13905,2006,753
13905,2007,780
13905,2008,758
13905,2009,720
13905,2010,820
13905,2011,814
13905,2012,807
13905,2013,821
13905,2014,789
13905,2015,802
13905,2016,840
13905,2017,837
13905,2018,833
13905,2019,826
14801,2005,153
14801,2006,172
14801,2007,158
14801,2008,161
14801,2009,175
14801,2010,158
14801,2011,152
14801,2012,160
14801,2013,156
14801,2014,132
14801,2015,1672
14801,2016,2020
14801,2017,2219
14801,2018,2223
14801,2019,1949
14802,2005,99
14802,2006,84
14802,2007,83
14802,2008,59
14802,2009,69
14802,2010,80
14802,2011,75
14802,2012,49
14802,2013,66
14802,2014,91
14803,2005,123
14803,2006,106
14803,2007,91
14803,2008,142
14803,2009,180
14803,2010,179
14803,2011,165
14803,2012,267
14803,2013,448
14803,2014,885
14803,2015,914
14803,2016,1030
14803,2017,815
14803,2018,960
14803,2019,789
14804,2005,60
14804,2006,54
14804,2007,62
14804,2008,66
14804,2009,97
14804,2010,185
14804,2011,395
14804,2012,819
14804,2013,998
14804,2014,1206
14804,2015,1321
14804,2016,1381
14804,2017,1463
14804,2018,1659
14804,2019,1719
14901,2005,912
14901,2006,935
14901,2007,986
14901,2008,1032
14901,2009,1093
14901,2010,1073
14901,2011,1103
14901,2012,1134
14901,2013,1174
14901,2014,1270
