DISTRICT,DA0CA07R,DA0CC07R,DA0CS07R,DA0CT07R,DACRB07R,DACRM07R,DACRR07R,DB0CA07R,DB0CC07R,DB0CS07R,DB0CT07R,DBCRB07R,DBCRM07R,DBCRR07R,DECRB07R,DECRM07R,DECRR07R,DF0CA07R,DF0CC07R,DF0CS07R,DF0CT07R,DFCRB07R,DFCRM07R,DFCRR07R,DH0CA07R,DH0CC07R,DH0CS07R,DH0CT07R,DHCRB07R,DHCRM07R,DHCRR07R,DI0CA07R,DI0CC07R,DI0CS07R,DI0CT07R,DICRB07R,DICRM07R,DICRR07R,DLCRB07R,DLCRM07R,DLCRR07R,DM0CA07R,DM0CC07R,DM0CS07R,DM0CT07R,DMCRB07R,DMCRM07R,DMCRR07R,DP0CA07R,DP0CC07R,DP0CS07R,DP0CT07R,DPCRB07R,DPCRM07R,DPCRR07R,DRCRB07R,DRCRM07R,DRCRR07R,DSCRB07R,DSCRM07R,DSCRR07R,DW0CA07R,DW0CC07R,DW0CS07R,DW0CT07R,DWCRB07R,DWCRM07R,DWCRR07R
"004901",20.7,23.3,1008,58.5,40,51,59,-1,-1,-1,-1,-1,-1,-1,32,45,52,19.7,15.1,960,58.9,37,47,64,16.4,7.4,924,50,20,40,43,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.2,33.3,1055,55.8,42,56,54,20,27.3,984,84.6,69,69,69,22,34,49,-1,-1,14,22.4,31.1,1057,59.2,46,56,64
"005901",21.8,31.8,983,71,66,65,80,.,.,.,.,.,.,.,80,80,83,21.4,33.3,958,60,38,40,75,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,.,22,31.3,997,76.2,76,76,82,.,.,-1,.,.,.,.,44,36,80,.,.,-1,21.9,31.6,993,70.4,65,67,78
"005902",21.4,31.1,1043,75,43,59,50,.,.,.,.,.,.,.,20,80,20,21,32,1014,80.6,40,57,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22.1,30,1070,69,46,62,50,.,.,.,.,.,.,.,0,0,11,.,.,.,21.5,31.8,1043,73.3,43,59,50
"005904",23.4,40,1040,69,46,93,46,.,.,.,.,.,.,.,-1,-1,-1,21.7,14.3,959,77.8,44,89,44,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,24.6,53.8,1111,65,47,95,47,.,.,.,.,.,.,.,0,86,0,.,.,.,23.3,36.8,1034,70.4,50,92,50
"006902",18.9,10,.,90.9,43,55,71,-1,.,.,.,.,.,.,38,63,63,19.2,16.7,.,100,42,42,83,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,17.7,0,.,70,44,70,56,.,.,.,.,.,.,.,33,29,67,-1,-1,-1,19.1,11.8,.,85,42,55,68
"007901",17.8,4.5,-1,100,18,52,23,.,.,.,.,.,.,.,7,47,7,18.4,6.7,-1,-2,23,71,31,17.5,0,.,89.5,20,50,25,.,.,.,.,.,.,.,.,.,.,16.3,0,.,87.5,11,22,11,.,.,.,.,.,.,.,13,41,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"007902",19.7,16.7,933,47.7,20,34,33,.,.,.,.,.,.,.,10,16,19,19.3,10.7,846,51.9,21,34,40,19.2,10,756,46.5,12,26,23,.,.,.,.,.,.,.,.,.,.,20.5,28.6,988,41.2,19,34,24,.,.,.,-1,.,.,.,8,19,26,0,0,0,20.7,22.7,1044,52.4,29,42,43
"007904",15.2,7,877,76,15,38,19,.,.,.,.,.,.,.,8,24,10,-1,10.3,891,96.7,25,36,36,15.2,5.7,815,79.5,9,33,14,.,.,.,.,.,.,.,-1,-1,-1,14.8,3.6,867,62.2,9,39,9,.,.,.,.,.,.,.,2,20,6,-1,-1,-1,.,10,985,64.5,24,45,28
"007905",20.1,19.2,1001,57,35,58,53,-1,-1,.,-1,-1,-1,-1,23,47,44,20,22,1029,61.2,47,59,73,18.5,11.1,936,32.1,37,58,52,.,.,.,.,.,.,.,.,.,.,20,15.6,976,52.5,22,56,32,.,-1,-1,-2,-1,-1,-1,11,26,41,0,38,0,20.6,25,1019,69.6,33,57,54
"007906",17.5,4.3,876,45.5,48,55,74,.,-1,-1,-2,.,.,.,47,58,78,17.1,0,864,43.1,47,51,74,16.1,3.3,850,41.1,47,56,71,.,.,.,.,.,.,.,.,.,.,18,9.5,891,48.8,50,61,74,-1,-1,-1,-1,-1,-1,-1,33,42,63,-1,-1,-1,19.3,7.7,927,50,59,59,88
