DISTRICT,DA0CA10R,DA0CC10R,DA0CS10R,DA0CT10R,DACRB10R,DACRM10R,DACRR10R,DB0CA10R,DB0CC10R,DB0CS10R,DB0CT10R,DBCRB10R,DBCRM10R,DBCRR10R,DECRB10R,DECRM10R,DECRR10R,DF0CA10R,DF0CC10R,DF0CS10R,DF0CT10R,DFCRB10R,DFCRM10R,DFCRR10R,DH0CA10R,DH0CC10R,DH0CS10R,DH0CT10R,DHCRB10R,DHCRM10R,DHCRR10R,DI0CA10R,DI0CC10R,DI0CS10R,DI0CT10R,DICRB10R,DICRM10R,DICRR10R,DLCRB10R,DLCRM10R,DLCRR10R,DM0CA10R,DM0CC10R,DM0CS10R,DM0CT10R,DMCRB10R,DMCRM10R,DMCRR10R,DRCRB10R,DRCRM10R,DRCRR10R,DSCRB10R,DSCRM10R,DSCRR10R,DW0CA10R,DW0CC10R,DW0CS10R,DW0CT10R,DWCRB10R,DWCRM10R,DWCRR10R,D20CA10R,D20CC10R,D20CS10R,D20CT10R,D2CRB10R,D2CRM10R,D2CRR10R,D30CA10R,D30CC10R,D30CS10R,D30CT10R,D3CRB10R,D3CRM10R,D3CRR10R,D40CA10R,D40CC10R,D40CS10R,D40CT10R,D4CRB10R,D4CRM10R,D4CRR10R
"049909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"050901",21.2,14.3,-1,87.5,58,67,79,.,.,.,.,-1,-1,-1,73,82,82,19.8,0,.,86.7,53,53,87,-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,23.5,37.5,-1,88.9,67,89,67,53,65,71,-1,-1,-1,21.5,15.8,-1,86.4,55,64,77,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"050902",21.7,38.7,1039,48.7,49,60,62,-1,-1,.,-1,-1,-1,-1,40,52,56,21.7,40.4,1038,55.3,52,60,68,23,63.6,1080,42.3,48,55,58,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,21.6,35.7,1041,40.6,46,61,55,9,17,35,-3,-3,15,21.6,36.1,1029,50,49,61,62,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"050904",19.5,16.7,-1,60,50,60,80,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.1,43,57,86,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,71.4,57,71,86,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"050909",19.8,16.7,.,50,55,64,73,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,44.4,63,75,88,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.8,16.7,.,54.5,60,70,70,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"050910",20.5,21,963,56.6,54,64,71,17.8,5.1,879,64.8,42,52,67,46,58,65,21.3,18.3,968,62.1,60,66,78,20,23.4,943,58.8,50,56,65,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.2,23.8,958,51.9,49,61,65,35,47,60,-3,21,24,22.5,28.6,1008,50.9,57,68,71,-1,17.6,981,65.4,65,75,83,-1,20,1015,83.3,83,92,92,-1,-1,-1,37.5,50,63,88
"051901",17.4,9.1,.,68.8,14,19,24,-1,-1,.,-1,-1,-1,-1,7,14,21,15.2,0,.,85.7,10,10,30,16.4,0,.,71.4,-3,11,22,.,.,.,.,-1,-1,-1,-1,-1,-1,20,20,.,55.6,18,27,18,-3,-3,-3,-3,-3,-3,18.8,20,.,83.3,38,38,38,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"052901",19.2,19.4,976,65.5,31,60,45,-1,-1,-1,-1,-1,-1,-1,40,53,47,20.1,22.2,949,62.1,37,57,47,18.4,5.3,-1,59.4,23,60,40,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,18.3,16.7,-1,69.2,24,64,44,17,33,50,-1,-1,-1,21,46.2,-1,68.4,38,57,52,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"053001",20.1,23.8,-1,47.7,48,55,70,.,.,.,.,-1,-1,-1,38,63,63,19.6,11.1,-1,40.9,41,45,68,19.5,18.2,.,36.7,41,48,72,.,.,.,.,-1,-1,-1,-1,-1,-1,20.6,33.3,-1,54.5,55,64,73,33,40,63,-1,-1,-1,20.8,30,-1,71.4,60,67,67,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"054901",17.2,9.1,.,64.7,25,38,41,.,.,.,.,-1,-1,-1,17,25,38,17.4,20,.,71.4,33,33,67,16.7,0,.,70,25,25,44,.,.,.,.,-1,-1,-1,-1,-1,-1,17,0,.,60,20,40,27,-3,-3,20,-1,-1,-1,-1,-1,.,57.1,29,57,43,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"054902",18.9,0,-1,45,29,27,45,.,.,.,.,-1,-1,-1,25,24,41,-1,-1,.,44.4,38,38,56,17.4,0,-1,42.9,13,13,31,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,0,-1,45.5,23,21,38,-3,-3,-3,-1,-1,-1,-1,-1,.,60,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"054903",19,20,-1,66.7,50,60,60,.,.,.,.,-1,-1,-1,53,60,60,18.4,12.5,-1,84.2,53,53,68,16.8,8.3,-1,60,35,40,50,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.4,45,73,45,-3,25,13,-1,-1,-1,22,37.5,-1,80,80,-4,80,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"055901",17.1,9.5,925,65.6,36,42,65,.,.,.,.,-1,-1,-1,39,46,69,17.2,10,938,58.8,47,53,94,16.5,12.5,917,61.5,29,36,59,.,.,.,.,-1,-1,-1,-1,-1,-1,17,9.1,912,73.3,25,31,35,15,20,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"056901",19.5,15.6,-1,79,38,58,59,-1,-1,.,-2,-1,-1,-1,10,34,38,19.5,14.7,-1,85,38,55,65,17.5,0,-1,60.9,5,36,33,.,.,.,.,-1,-1,-1,-1,-1,-1,19.5,16.7,-1,73.2,38,62,53,19,41,49,-3,-3,30,20.4,22.2,-1,84.9,53,67,74,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"056902",17.5,15.4,.,100,31,38,46,.,.,.,.,-1,-1,-1,-1,-1,-1,18.8,33.3,.,100,33,33,50,-1,-1,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,16.4,0,.,100,29,43,43,-1,-1,-1,-1,-1,-1,17.8,18.2,.,100,36,45,45,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057802",-1,0,839,100,44,56,80,.,.,.,-1,-1,-1,-1,-1,-1,60,-1,0,820,100,33,50,83,-1,0,821,-2,57,71,75,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,43,75,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057803",24.6,59.5,1153,-2,89,90,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.6,57.9,1164,-2,86,86,97,22.4,36.4,1041,91.7,83,83,92,.,.,.,.,-1,-1,-1,-1,-1,-1,24.5,61.1,1143,-2,91,94,94,-1,-1,-1,-1,-1,-1,25.4,68.2,1227,100,91,91,-4,-1,-1,-1,-1,-1,-1,-1,25,60,1146,-2,88,91,94,.,.,.,.,-1,-1,-1
"057804",-1,0,784,1.7,6,15,25,-1,0,-1,3.2,4,12,19,4,13,23,-1,-1,-1,1.7,8,18,31,.,-1,-1,0.8,7,17,30,.,.,.,-1,-1,-1,-1,-3,11,-3,-1,-1,-1,1.8,4,12,19,5,14,24,-3,-3,-3,.,.,.,0,9,17,45,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"057805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057806",-1,23.1,903,30.2,40,49,56,.,-1,-1,-1,-1,-1,-1,18,27,36,-1,37.5,959,42.1,37,42,58,.,0,758,41.7,25,33,50,.,.,.,.,-1,-1,-1,-1,-1,-1,.,0,814,20.8,42,54,54,23,36,41,-1,-1,-1,-1,42.9,1003,24.1,52,62,66,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057807",17.1,9.4,877,81.5,39,53,57,17.1,7.5,871,100,39,55,57,38,50,55,16.8,11.5,862,76.5,37,44,57,-1,9.1,862,52.4,44,48,65,.,.,.,.,-1,-1,-1,-1,-1,-1,17.3,7.4,892,87.1,41,63,56,9,8,29,-3,-3,27,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057808",16.6,0,822,94.1,35,56,53,-1,0,781,-2,31,43,54,30,55,40,-1,0,797,83.3,36,55,64,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,33,57,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"057809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057811",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057813",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057814",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057815",-1,0,713,50,11,33,33,-1,-1,.,40,-3,17,17,12,29,35,-1,0,-1,46.2,-3,9,27,-1,0,727,50,20,50,50,.,.,.,.,-1,-1,-1,-3,43,29,-1,0,794,55.6,29,71,43,-3,21,29,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057816",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057817",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057819",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057825",.,-1,-1,2.9,30,47,43,.,.,.,0,27,55,27,35,50,44,.,-1,-1,5.8,38,52,50,.,-1,-1,6.5,39,61,53,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,0,22,42,38,16,35,27,-1,-1,-3,.,-1,-1,2.2,18,17,33,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"057827",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057828",19.8,12.5,916,8,27,40,55,-1,0,-1,11.4,25,27,43,22,35,46,19.2,5.3,878,8.8,25,40,54,.,-1,-1,2.5,31,29,53,.,.,.,-1,-1,-1,-1,-3,15,31,20.4,23.1,972,7.1,29,42,55,18,32,50,-1,-1,-1,19.8,12,941,8.6,25,41,57,.,-1,-1,10,-1,-1,-1,.,.,.,0,60,80,60,.,.,.,0,20,60,40
"057829",-1,14.3,852,41.2,29,41,50,.,.,.,-1,-1,-1,-1,35,42,54,-1,0,781,62.5,27,47,53,-1,9.1,801,37.9,30,43,53,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,22.2,32,37,47,9,9,36,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057830",.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057831",16.5,3.2,748,-2,28,42,44,16.5,3.2,748,-2,28,42,44,24,36,40,16.4,5.3,745,-2,32,37,53,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,0,753,100,23,50,31,-3,9,10,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057832",.,.,.,0,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,0,-1,-1,-1,.,.,.,0,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057833",.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"057834",.,0,915,3.9,18,30,41,.,-1,-1,5.6,5,14,22,-3,23,25,.,0,915,9,12,19,41,.,-1,-1,2.3,5,17,38,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,0,24,39,41,15,23,37,-1,-1,-1,.,-1,-1,3.8,39,54,58,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"057835",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057837",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057838",15.4,0,859,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,15.2,0,865,-2,.,.,.,15.4,0,859,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057840",25,51.7,1104,-2,81,91,88,23.9,45,1024,-2,65,88,71,76,90,81,25.2,43.2,1068,93.1,77,87,87,24.5,31,1027,100,82,89,93,.,.,.,.,-1,-1,-1,-1,-1,-1,24.8,62.9,1150,-2,88,98,90,-1,-1,-1,-1,-1,-1,28.1,66.7,1171,100,91,93,96,.,.,.,.,-1,-1,-1,22.5,48.8,1107,100,76,90,83,-1,-1,-1,-1,-1,-1,-1
"057841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057842",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057843",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057844",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057903",21.4,32.8,1008,61.9,56,67,70,18.1,12.1,886,75.7,42,48,65,44,59,60,21.1,29.5,991,64.1,56,65,72,18.9,13.6,923,41.6,45,60,61,-1,-1,-1,44.4,43,38,86,2,36,5,21.8,36.8,1027,59.4,56,69,68,29,42,52,12,21,29,24,54.4,1112,74.1,72,81,81,.,40,1060,62.5,71,71,71,22.9,43.7,1058,87.3,69,84,77,-1,-1,-1,-1,-1,-1,-1
"057904",17.6,9.2,855,78.5,38,50,58,16.7,4.3,811,82.7,32,44,56,29,40,50,17.1,6,828,78.6,38,47,61,18.3,14.9,930,62.7,41,59,57,.,.,.,.,-1,-1,-1,-1,-1,-1,18.2,13,884,78.4,37,53,54,20,32,46,-3,3,3,22.6,37.8,1033,67.3,64,73,70,-1,20,-1,100,40,40,60,-1,28.6,1040,100,63,63,63,-1,-1,-1,-1,-1,-1,-1
"057905",17.1,9.8,860,71,40,57,55,15.9,4.9,811,86.2,33,49,50,37,55,51,17.1,8.8,853,74.4,41,56,59,16.9,7.3,853,62.3,40,58,54,19.5,12.5,924,66.7,59,66,76,10,34,16,17,11.2,868,66.8,38,58,50,14,30,33,4,10,9,23.4,45.1,1074,80.4,70,78,81,-1,10,928,83.3,33,42,42,20.6,29.2,979,88.9,59,80,62,-1,-1,-1,-1,-1,-1,-1
"057906",16.8,6.2,849,82.2,35,45,60,16.7,4.6,841,83.5,33,43,60,33,39,56,16.7,4.3,830,88.9,31,42,61,16.1,6.7,838,66.7,41,61,55,.,-1,-1,-2,-1,-1,-1,-1,-1,-1,17,8.9,876,74.1,39,49,58,13,22,47,3,6,11,22.4,30.8,962,86.7,53,59,65,-1,-1,-1,80,20,20,40,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"057907",18.7,15.3,945,64.3,44,57,64,17.7,5.8,879,76.5,37,45,63,38,50,60,19,14.7,931,61.9,43,53,67,18.2,12.1,943,44,40,61,58,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,18.4,15.9,961,67.4,45,61,61,20,32,50,3,16,8,23,57.1,1150,70.8,73,83,81,.,-1,-1,-1,-1,-1,-1,20.4,0,929,61.1,50,72,67,.,.,.,.,-1,-1,-1
"057909",20.8,27.2,995,51.8,52,65,66,18.3,9.8,896,70.4,42,52,61,39,53,53,20.9,25.5,985,55.3,54,65,70,19.6,16.8,957,30.6,40,55,56,-1,30.8,1028,56.5,65,71,80,3,23,3,20.6,29.4,1007,48.1,50,65,60,27,41,49,3,11,12,22.8,41.3,1063,60.2,66,78,77,21.9,26.5,999,50,65,71,76,22.6,39.6,1048,71.9,63,79,71,-1,-1,-1,-1,60,60,60
"057910",18.6,16.1,946,40.9,43,60,58,17.2,7.5,886,60.2,38,52,55,36,56,51,18.8,14,936,42.2,46,60,65,17.6,6,903,29.2,36,55,53,-1,-1,-1,50,50,-4,50,9,37,13,18.2,18.5,957,39.6,39,60,50,24,44,44,3,8,13,21.8,35.7,1043,46.8,58,74,70,-1,-1,-1,20,44,90,44,21.8,36,1027,79.4,63,80,64,.,-1,-1,-1,-1,-1,-1
"057911",26.2,72.4,1196,-2,92,97,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.5,74.4,1193,-2,92,97,94,22.9,65,1163,-2,85,90,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.9,70.2,1200,-2,91,97,93,65,74,72,50,50,89,26.3,71.6,1189,-2,91,97,93,-1,83.3,1310,100,-4,-4,-4,29.1,87,1315,-2,-4,-4,-4,.,.,.,.,-1,-1,-1
"057912",19.1,17.7,938,47.9,46,58,65,17.4,8.4,856,66.5,38,50,59,40,52,61,19,15.5,912,53.3,46,53,70,18,10.2,908,38.1,40,53,61,-1,-1,-1,57.1,43,57,57,12,40,18,19.3,20.6,967,42.5,47,62,60,23,36,48,4,11,8,21.9,30.8,1004,58.4,62,69,79,22,44.4,1109,56.3,63,63,82,21,38.2,1027,73.1,66,80,74,-1,-1,.,-1,-1,-1,-1
"057913",15.5,0.9,799,76.8,19,34,42,15.4,1,789,80,17,33,41,18,32,39,15.7,0,803,77.2,21,34,46,17,0,891,46.2,29,38,54,.,.,.,.,-1,-1,-1,-1,-1,-1,15.1,2.1,794,76.4,16,33,37,6,16,30,-3,-3,10,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"057914",19.2,20.7,958,53.3,43,57,58,16.8,6.5,864,68.2,27,42,49,34,51,47,19,18.5,945,56.2,43,55,60,18,12.7,920,34.9,35,54,50,20.6,18.8,1039,69.6,57,67,82,-3,21,2,19.5,23.3,973,50.2,43,60,57,15,24,38,4,9,12,21.6,33.2,1025,59.3,56,67,68,19,26.3,985,43.2,51,62,69,22.2,34.4,1028,81.8,73,81,81,.,-1,-1,-1,-1,-1,-1
"057916",22.6,42.2,1042,77.2,66,79,73,18.1,11.5,875,79.2,37,55,52,46,66,57,22.2,37.5,1012,78.4,64,75,75,19.8,24.2,972,53.6,53,71,60,21.2,50,-1,85.7,71,71,86,-3,7,-3,23.1,47.1,1074,76,68,82,72,33,51,50,22,35,24,24.8,60.3,1130,87.3,85,92,89,21.1,32.4,1033,82.2,61,68,70,23.8,45.6,1072,84,71,88,75,.,.,.,.,-1,-1,-1
"057919",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"057922",25.6,66,1155,91.3,83,89,89,21.7,40,1026,86.2,66,69,77,43,63,63,25.3,62.3,1136,96.4,87,90,93,24.4,47.6,1096,76.8,70,79,78,-1,-1,-1,-1,-1,-1,-1,9,73,9,26.1,70.4,1177,85.7,80,89,84,49,67,68,27,32,43,25.7,67.7,1150,89.7,87,91,93,-1,72.7,1190,91.7,92,92,-4,26.7,73,1214,-2,81,94,82,.,.,.,.,-1,-1,-1
"058902",19.4,16.7,-1,54.5,70,70,-4,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,50,83,83,-4,40,40,-4,-1,-1,-1,-1,-1,.,66.7,83,83,-4,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
