DISTRICT,DA0CA10R,DA0CC10R,DA0CS10R,DA0CT10R,DACRB10R,DACRM10R,DACRR10R,DB0CA10R,DB0CC10R,DB0CS10R,DB0CT10R,DBCRB10R,DBCRM10R,DBCRR10R,DECRB10R,DECRM10R,DECRR10R,DF0CA10R,DF0CC10R,DF0CS10R,DF0CT10R,DFCRB10R,DFCRM10R,DFCRR10R,DH0CA10R,DH0CC10R,DH0CS10R,DH0CT10R,DHCRB10R,DHCRM10R,DHCRR10R,DI0CA10R,DI0CC10R,DI0CS10R,DI0CT10R,DICRB10R,DICRM10R,DICRR10R,DLCRB10R,DLCRM10R,DLCRR10R,DM0CA10R,DM0CC10R,DM0CS10R,DM0CT10R,DMCRB10R,DMCRM10R,DMCRR10R,DRCRB10R,DRCRM10R,DRCRR10R,DSCRB10R,DSCRM10R,DSCRR10R,DW0CA10R,DW0CC10R,DW0CS10R,DW0CT10R,DWCRB10R,DWCRM10R,DWCRR10R,D20CA10R,D20CC10R,D20CS10R,D20CT10R,D2CRB10R,D2CRM10R,D2CRR10R,D30CA10R,D30CC10R,D30CS10R,D30CT10R,D3CRB10R,D3CRM10R,D3CRR10R,D40CA10R,D40CC10R,D40CS10R,D40CT10R,D4CRB10R,D4CRM10R,D4CRR10R
"003904",21,18.9,987,30.6,36,49,52,.,.,.,-1,-1,-1,-1,16,39,34,20.2,16.7,983,39.3,43,48,63,-1,-1,-1,66.7,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,23.1,993,21.7,31,49,42,17,30,34,-1,-1,-3,23.8,21.2,987,29.5,38,49,56,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"003905",19,14.5,983,75.6,42,66,58,17.1,0,-1,70,27,55,45,37,63,46,18.9,13.3,963,71.4,45,66,63,17.5,12,984,83.3,45,69,55,.,.,.,.,-1,-1,-1,-1,-1,-1,19.1,15.6,996,80,39,66,53,18,42,39,-1,-1,-1,20.7,20,989,71.4,44,67,64,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"003906",.,13.3,841,62.5,36,48,60,.,.,.,.,-1,-1,-1,30,40,40,.,16.7,876,70.6,47,59,71,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,42.9,13,25,38,9,9,45,-1,-1,-1,.,13.3,841,62.5,38,50,63,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"003907",19.1,11.6,913,51.2,39,60,52,-1,-1,-1,-1,-1,-1,-1,26,46,48,18.9,7.1,897,62.2,48,67,61,.,20,824,55.6,17,50,25,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,939,38.5,30,53,44,4,12,26,-3,13,-3,20.5,12.5,941,46.4,38,60,54,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"004901",19.6,22.6,970,68.5,53,66,68,-1,-1,-1,-1,-1,-1,-1,41,54,58,18.9,18.2,943,74.2,57,68,76,17.7,10,911,65.6,45,54,65,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,20.3,26.8,999,64,50,64,61,33,49,55,-3,8,7,21.1,29.8,1014,68.9,59,73,72,-1,-1,-1,-1,-1,-1,-1,16.8,0,-1,85.7,43,71,43,-1,-1,.,-1,-1,-1,-1
"005901",22.9,31.3,1076,61.5,48,58,48,.,.,.,.,-1,-1,-1,20,33,33,21.3,16.7,1042,100,64,73,58,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.6,33,46,38,-3,25,8,-1,-1,-1,22.9,33.3,1081,62.5,48,59,48,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"005902",22.5,38.2,1037,65.4,67,80,80,.,.,.,.,-1,-1,-1,91,91,91,23.5,45.5,-1,52.4,76,86,86,-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,22,34.8,1082,74.2,60,77,77,17,33,33,-1,-1,-1,22.3,36.4,1037,67.3,67,81,81,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"005904",21,25,1100,80,69,97,69,.,.,.,.,-1,-1,-1,55,-4,55,22.1,25,-1,80,80,-4,80,-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,20.5,25,-1,80,63,95,63,33,83,33,-1,-1,-1,21.4,27.3,1100,84.6,68,96,68,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"006902",21.1,43.5,-1,100,63,71,75,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,22.7,60,-1,71.4,69,69,85,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,19.8,30.8,.,-2,55,73,64,-1,-1,-1,-1,-1,-1,21.5,45,.,-2,68,74,79,-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
"007901",16.8,4.2,-1,72.7,18,26,44,-1,-1,.,-2,-1,-1,-1,13,25,29,17.7,6.7,-1,75,30,40,60,16.8,0,-1,59.3,15,26,41,.,.,.,.,-1,-1,-1,-1,-1,-1,15.2,0,-1,69.2,-3,7,21,6,6,24,-1,-1,-1,17.6,14.3,.,-2,29,29,57,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
