DISTRICT,DA0CA08R,DA0CC08R,DA0CS08R,DA0CT08R,DACRB08R,DACRM08R,DACRR08R,DB0CA08R,DB0CC08R,DB0CS08R,DB0CT08R,DBCRB08R,DBCRM08R,DBCRR08R,DECRB08R,DECRM08R,DECRR08R,DF0CA08R,DF0CC08R,DF0CS08R,DF0CT08R,DFCRB08R,DFCRM08R,DFCRR08R,DH0CA08R,DH0CC08R,DH0CS08R,DH0CT08R,DHCRB08R,DHCRM08R,DHCRR08R,DI0CA08R,DI0CC08R,DI0CS08R,DI0CT08R,DICRB08R,DICRM08R,DICRR08R,DLCRB08R,DLCRM08R,DLCRR08R,DM0CA08R,DM0CC08R,DM0CS08R,DM0CT08R,DMCRB08R,DMCRM08R,DMCRR08R,DP0CA08R,DP0CC08R,DP0CS08R,DP0CT08R,DPCRB08R,DPCRM08R,DPCRR08R,DRCRB08R,DRCRM08R,DRCRR08R,DSCRB08R,DSCRM08R,DSCRR08R,DW0CA08R,DW0CC08R,DW0CS08R,DW0CT08R,DWCRB08R,DWCRM08R,DWCRR08R
"001902",-1,11.1,923,37.5,35,52,52,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,12.5,920,53.3,21,36,43,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,11.1,56,78,67,.,.,.,.,-1,-1,-1,20,20,40,-1,-1,-1,-1,11.1,923,42.9,40,55,60
"001903",20.4,19.2,977,45.6,48,59,74,.,-1,-1,-1,-1,-1,-1,38,44,69,-1,25,970,30.8,38,50,71,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,16.7,981,58.1,57,67,77,.,-1,-1,-1,-1,-1,-1,-3,17,50,-1,-1,-1,20.4,17.4,967,45.1,50,58,77
"001904",23.8,25,978,53.3,41,68,55,.,-1,-1,-1,60,80,60,38,69,56,-1,14.3,924,66.7,60,70,75,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,40,1062,41.7,25,67,38,.,.,.,.,-1,-1,-1,-3,11,22,-1,-1,-1,23.8,31.6,1007,48.7,41,68,54
"001906",19.8,0,-1,41.7,25,42,50,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.1,29,29,71,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,60,20,.,.,.,.,-1,-1,-1,20,20,60,-1,-1,-1,19.8,0,-1,45.5,27,45,45
"001907",21.1,27.8,996,43.9,38,65,45,16.4,6.3,787,36.4,12,49,18,24,60,36,21.3,23.3,972,46.2,41,64,49,-1,25,1024,21.1,28,56,36,.,.,.,.,-1,-1,-1,-1,-1,-1,20.6,34.5,1028,40.8,34,67,40,.,-1,-1,-1,-1,-1,-1,12,42,22,-1,-1,-1,22.5,36.2,1067,58.8,57,79,63
"001908",17.3,12.7,904,75.3,45,55,64,-1,0,767,100,20,20,44,11,40,42,15.2,6.9,928,74.4,42,50,61,-1,0,-1,71.4,33,71,33,.,.,.,.,-1,-1,-1,-1,-1,-1,18.7,19.2,879,76.5,49,61,67,.,.,.,.,-1,-1,-1,18,28,45,-3,-3,-3,19.3,18.4,954,70.4,54,63,73
"001909",-1,28.6,967,41.2,56,81,56,.,-1,-1,-1,-1,-1,-1,67,83,67,-1,-1,-1,66.7,83,83,83,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.3,40,80,40,.,.,.,.,-1,-1,-1,50,83,50,-1,-1,-1,-1,33.3,992,37.5,60,87,60
"002901",19.1,18.3,961,42.3,24,44,35,.,-1,-1,-1,-1,-1,-1,5,41,9,20,17.1,954,53.2,31,47,44,16.8,7.7,895,31,10,35,16,.,.,.,.,-1,-1,-1,-1,-1,-1,18.4,20,973,33,18,42,27,.,-1,-1,-2,-1,-1,-1,10,19,20,-1,-1,-1,20.2,17.9,966,50.6,36,51,52
"003801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902",19.2,23,970,58.4,45,60,62,.,-1,-1,-1,-1,-1,-1,23,42,43,19.5,17.8,920,57.7,38,51,58,-1,0,811,70,25,45,43,.,.,.,.,-1,-1,-1,-1,-1,-1,18.8,28.6,1025,59.2,52,70,65,.,.,.,-1,-1,-1,-1,20,30,43,-1,-1,-1,19.7,27.9,1005,55.3,48,62,66
"003903",17.5,22.9,979,61.3,43,60,55,15.5,1.5,812,63.6,23,37,40,24,44,41,18.1,20.2,976,54.3,40,53,57,-1,8.7,907,25,25,52,36,.,.,.,-1,-1,-1,-1,-1,-1,-1,17,25.2,982,68.5,46,67,53,.,50,1064,-2,83,83,83,10,23,22,-3,18,-3,20.2,32.7,1046,73.9,59,76,70
"003904",19.8,20,986,41.7,33,53,41,.,.,.,-1,-1,-1,-1,6,28,17,19,16.7,976,51.4,38,52,48,-1,-1,-1,-2,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,23.5,997,34.7,30,53,37,.,.,.,-1,-1,-1,-1,3,17,18,-1,-1,-1,21,18.8,981,40,34,53,42
"003905",17.8,15.7,980,55.4,33,51,44,14.6,11.1,-1,64.3,27,45,33,26,42,35,17.8,12,970,52.1,34,45,52,19.6,17.6,997,44.7,33,47,47,.,.,.,.,-1,-1,-1,-1,-1,-1,17.9,19.2,989,59.1,31,57,35,.,.,.,.,-1,-1,-1,8,19,16,-1,-1,-1,18.3,16,986,62.5,33,56,44
"003906",19,11.1,-1,47.4,23,36,35,.,.,.,.,-1,-1,-1,-3,40,20,-1,-1,-1,60,14,43,38,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,0,-1,42.9,27,33,33,.,.,.,.,-1,-1,-1,-3,10,20,-1,-1,-1,19,11.1,-1,47.4,23,36,35
