DISTRICT,DA0CA08R,DA0CC08R,DA0CS08R,DA0CT08R,DACRB08R,DACRM08R,DACRR08R,DB0CA08R,DB0CC08R,DB0CS08R,DB0CT08R,DBCRB08R,DBCRM08R,DBCRR08R,DECRB08R,DECRM08R,DECRR08R,DF0CA08R,DF0CC08R,DF0CS08R,DF0CT08R,DFCRB08R,DFCRM08R,DFCRR08R,DH0CA08R,DH0CC08R,DH0CS08R,DH0CT08R,DHCRB08R,DHCRM08R,DHCRR08R,DI0CA08R,DI0CC08R,DI0CS08R,DI0CT08R,DICRB08R,DICRM08R,DICRR08R,DLCRB08R,DLCRM08R,DLCRR08R,DM0CA08R,DM0CC08R,DM0CS08R,DM0CT08R,DMCRB08R,DMCRM08R,DMCRR08R,DP0CA08R,DP0CC08R,DP0CS08R,DP0CT08R,DPCRB08R,DPCRM08R,DPCRR08R,DRCRB08R,DRCRM08R,DRCRR08R,DSCRB08R,DSCRM08R,DSCRR08R,DW0CA08R,DW0CC08R,DW0CS08R,DW0CT08R,DWCRB08R,DWCRM08R,DWCRR08R
"003907",17.6,31.4,1033,35.7,31,55,38,.,-1,-1,-1,-1,-1,-1,20,61,25,-1,35.7,1055,30.4,33,60,45,.,.,.,0,-3,43,-3,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,28.6,1016,40.4,29,50,33,.,.,.,.,-1,-1,-1,-3,23,4,-1,-1,-1,17.6,29.4,1024,39.5,32,54,40
"004901",20,21.7,983,65.4,45,59,56,.,-1,-1,-1,-1,-1,-1,41,47,56,19.5,16.7,956,76.9,48,59,60,17.9,20.8,938,64.9,40,50,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.8,28.3,1016,54.8,42,60,53,19.1,12.5,903,72.7,55,73,55,16,29,36,-3,-3,11,20.9,23.6,1014,65.5,46,62,58
"005901",20.7,7.1,985,50,32,43,55,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,22,33,70,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,20.4,10,958,55.6,37,47,47,-1,-1,-1,-1,-1,-1,-1,-3,11,30,-1,-1,-1,20.2,0,977,48.1,31,42,56
"005902",21.8,33.9,1050,81.9,63,72,70,.,.,.,.,-1,-1,-1,33,50,33,22.3,36.7,1047,85.7,64,69,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.3,31,1055,78.4,63,74,63,.,.,.,.,-1,-1,-1,-3,6,18,-1,-1,-1,21.6,32.7,1037,82.1,61,70,69
"005904",23.6,53.8,1202,81.3,68,97,68,.,.,.,.,-1,-1,-1,63,-4,63,22.9,43.8,-1,84.2,68,-4,68,-1,-1,.,28.6,33,86,33,.,.,.,.,-1,-1,-1,-1,-1,-1,24.7,70,-1,76.9,67,92,67,-1,-1,.,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,56.5,1202,92,76,-4,76
"006902",20.9,31.6,.,90.5,55,57,80,.,.,.,-1,-1,-1,-1,33,29,67,20.6,27.3,.,-2,50,45,80,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,21.4,37.5,.,72.7,60,70,80,.,.,.,.,-1,-1,-1,40,33,60,-1,-1,-1,20.9,31.6,.,95,58,63,84
"007901",15.6,0,-1,72.2,4,17,33,.,.,.,.,-1,-1,-1,10,10,36,15.9,0,-1,80,9,18,50,14.1,0,.,64.3,-3,6,37,.,.,.,.,-1,-1,-1,-1,-1,-1,15.2,0,.,62.5,-3,17,17,.,.,.,.,-1,-1,-1,-3,6,35,-1,-1,-1,-1,-1,-1,-1,20,60,20
"007902",19,20,889,54.8,32,35,66,.,.,.,.,-1,-1,-1,25,31,64,19.1,13.6,819,51.2,32,35,78,18.2,13.3,845,37.5,22,27,65,.,.,.,.,-1,-1,-1,-1,-1,-1,18.9,27.8,982,60,31,34,52,.,.,.,.,-1,-1,-1,13,17,67,-1,-1,20,19.5,24,921,75.8,44,44,67
"007904",20,17.1,930,72.4,45,53,57,.,-1,-1,-1,-1,-1,-1,39,50,51,16.9,2.6,899,79.6,43,51,64,19.5,15.2,927,65.7,51,58,61,.,.,.,.,-1,-1,-1,-1,-1,-1,23.5,32.4,962,66.1,46,55,51,.,.,.,.,-1,-1,-1,21,28,38,-1,-1,20,20.5,20.7,933,85.3,34,46,47
"007905",20.1,22.7,996,48.1,43,59,53,.,.,.,-1,-1,-1,-1,34,50,44,19.5,12,922,51,40,57,51,19.9,17.9,948,38.2,37,54,46,.,.,.,.,-1,-1,-1,-1,-1,-1,20.9,36.8,1097,44.7,46,61,56,.,-1,-1,-2,-1,-1,-1,19,32,31,25,33,20,20.3,25,1027,60.8,49,64,61
"007906",16.9,8.6,860,34,35,42,66,.,.,.,.,-1,-1,-1,24,33,60,17.8,6.3,881,32.7,36,40,69,17.1,9.5,819,27.3,31,37,64,.,.,.,.,-1,-1,-1,-1,-1,-1,16.2,10.5,839,35.2,35,44,63,.,-1,-1,-2,-1,-1,-1,13,25,52,-1,-1,-1,-1,7.7,926,50,44,54,70
"008901",22.5,44.9,1059,68.1,52,75,61,20.2,12.5,942,57.1,42,69,42,35,65,35,22.8,42.9,1068,76.7,56,72,69,19.1,0,938,57.9,25,60,30,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.2,47.6,1047,59.2,49,78,53,.,.,.,.,-1,-1,-1,23,47,31,13,50,13,23.5,53.8,1080,70.9,58,78,68
"008902",21,23.1,963,60.9,41,58,49,-1,0,-1,63.6,44,44,44,16,34,24,21.5,24,966,75.8,52,57,66,20.1,22.2,1004,22.5,19,42,27,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.1,21.4,959,45.2,30,60,33,-1,-1,-1,-2,-1,-1,-1,7,19,18,-3,40,-3,21.6,27.6,970,78.4,50,68,60
"008903",19.3,23.1,969,67.2,54,75,68,-1,0,-1,-2,20,20,60,40,80,47,-1,22.2,990,58.1,58,81,74,.,-1,-1,21.1,37,58,63,.,.,.,.,-1,-1,-1,-1,-1,-1,18.3,23.8,951,77.8,50,68,61,.,.,.,.,-1,-1,-1,43,57,71,-1,-1,-1,21.1,23.3,985,85.7,69,91,71
"009901",19.9,28.9,1116,62.3,46,52,68,.,.,.,-1,-1,-1,-1,37,43,57,19,17.6,-1,60.7,37,37,70,18.1,7.1,-1,42.4,36,42,67,.,.,.,.,-1,-1,-1,-1,-1,-1,20.7,38.1,-1,63.6,53,64,67,.,.,.,.,-1,-1,-1,14,18,57,-1,-1,-1,21.1,41.7,-1,88.9,62,69,73
"010901",20.8,36.8,1056,-2,53,76,50,-1,-1,.,-1,-1,-1,-1,-1,-1,40,20.5,33.3,1015,-2,54,77,57,-1,-1,-1,-2,-1,-1,-1,-1,-1,.,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,.,.,.,.,-1,-1,-1,40,60,50,-1,-1,-1,22.7,50,1087,100,57,86,53
"010902",20.9,23.8,986,74.3,47,57,71,-1,-1,-1,-1,-1,-1,-1,52,70,68,20.1,19.1,959,77.3,43,49,78,20.6,6.7,912,60,35,55,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.5,29,1018,71.3,51,64,65,-1,-1,-1,-1,-1,-1,-1,17,31,53,-1,-1,40,20.9,26.6,998,75.7,48,57,70
"011901",19.5,16,939,57.1,34,50,49,16.9,2.9,779,-2,26,50,35,30,50,44,19.1,12.2,928,64.2,30,47,50,17.8,11.8,912,41.8,25,38,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.3,20.4,951,50.7,37,54,48,.,-1,-1,60,80,-4,80,14,26,36,18,27,14,20.8,20.1,980,58.1,37,55,55
"011902",17.8,11.2,939,47.3,32,48,43,13.8,0,817,40,14,27,26,19,34,32,17.7,9.8,943,51.5,35,44,47,17,0,891,30.8,22,38,34,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,17.9,13.2,933,42.7,29,53,38,.,-1,-1,-1,-1,-1,-1,13,26,29,-1,-1,-1,19.1,14.8,980,60.7,43,57,52
"011904",19.9,19,973,70.8,30,67,34,.,.,.,-1,-1,-1,-1,30,67,30,19.5,13.9,920,78.3,31,59,39,16.9,0,913,50,18,59,24,.,.,.,.,-1,-1,-1,-1,-1,-1,20.7,25.9,1038,62.8,29,76,29,-1,-1,-1,-1,-1,-1,-1,-3,15,-3,-1,-1,-1,20.6,22.6,989,79.1,35,73,38
"011905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"012901",20.4,13.3,-1,85.7,47,67,56,.,.,.,.,-1,-1,-1,-1,-1,-1,19.6,12.5,.,100,44,59,56,-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,21.2,14.3,-1,73.7,50,74,56,.,.,.,.,-1,-1,-1,-3,-3,14,-1,-1,-1,20.5,14.8,-1,84.4,48,67,58
"013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013901",18,12.6,1024,63.2,34,51,44,-1,-1,.,60,-1,-1,-1,24,42,29,18.4,12,1005,67.6,31,42,46,17.5,9.4,974,61.2,27,50,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.6,13.5,1069,57.8,37,62,41,-1,-1,.,-1,-1,-1,-1,20,34,32,-1,-1,-1,19.8,21.6,1043,69.8,54,59,68
"013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"013903",19,6.7,946,65.2,38,63,44,.,.,.,.,-1,-1,-1,18,36,33,18,16.7,-1,54.5,45,64,55,-1,20,-1,55.6,40,60,60,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,0,941,75,31,62,36,.,.,.,.,-1,-1,-1,20,40,18,-1,-1,-1,19,0,906,76.9,38,69,36
"013905",18.7,9.1,-1,43.1,37,63,55,-1,-1,.,-1,-1,-1,-1,32,65,47,18.2,0,-1,38.1,32,65,50,16.6,0,-1,34.6,25,60,50,.,.,.,-1,-1,-1,-1,-1,-1,-1,18.9,14.3,-1,46.7,41,61,59,.,.,.,.,-1,-1,-1,10,47,38,-1,-1,-1,20.4,16.7,-1,52.2,52,67,61
"014801",-1,-1,-1,7.7,21,38,33,-1,-1,-1,12.5,17,50,25,8,31,25,.,-1,-1,8.3,7,24,27,.,-1,-1,14.3,-1,20,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,6.7,44,67,44,.,.,.,-1,-1,-1,-1,20,36,30,-1,-1,-1,.,.,.,0,25,33,50
"014802",-1,-1,.,7.1,20,17,20,-1,-1,.,20,-1,-1,-1,-1,20,-1,.,.,.,0,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,12.5,-1,20,-1,.,.,.,.,-1,-1,-1,-1,20,-1,-1,-1,-1,.,.,.,0,-1,-1,-1
"014803",.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1
"014804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014901",20.6,25,955,57.1,52,64,70,.,.,.,-1,-1,-1,-1,-1,-1,-1,21.1,20.8,919,66.7,61,68,77,-1,16.7,-1,60,67,67,78,.,.,.,.,-1,-1,-1,-1,-1,-1,19.7,33.3,1028,44.4,40,60,62,.,.,.,.,-1,-1,-1,16,28,50,-1,-1,-1,21,26.7,958,57.7,50,65,70
"014902",-1,18.2,915,47.8,23,32,39,-1,-1,-1,-1,-1,-1,-1,11,22,10,-1,0,822,54.5,18,18,45,.,-1,-1,11.1,-3,11,11,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,40,1028,41.7,27,45,33,.,.,.,-1,-1,-1,-1,-3,-3,9,-1,-1,-1,-1,22.2,964,90,50,50,80
"014903",21.5,34.8,1015,54.6,45,58,59,16.2,33.3,923,45,44,47,45,23,43,37,22.1,33.1,1016,60.7,48,58,68,18.3,15.2,934,34,22,42,41,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.6,37,1014,48.2,41,59,50,-1,66.7,-1,-2,80,80,-4,15,34,31,6,27,5,22.1,37.4,1030,60.1,50,63,64
"014905",20.6,23.1,-1,37.1,34,48,45,-1,-1,.,-1,-1,-1,-1,8,25,17,21.2,30,-1,50,39,44,47,-1,-1,.,28.6,50,43,67,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,29,53,43,.,.,.,.,-1,-1,-1,14,14,57,-1,-1,-1,20.7,30,-1,38.5,33,54,44
"014906",20,19.9,940,67.7,33,51,47,18.5,9,875,75.1,23,38,42,24,41,39,19.8,18.9,932,67.9,34,44,53,21.1,23.6,964,52.8,33,51,48,-1,-1,-1,42.9,-1,-1,-1,-3,15,5,20.2,21.1,949,67.4,33,58,41,20.5,24.1,947,82.9,44,63,49,13,29,31,4,9,6,21.9,32.5,1019,65,45,64,53
"014907",17.8,26.1,1043,60.5,45,60,61,.,-1,-1,-1,-1,-1,-1,50,50,44,17.3,40,1105,57.7,46,54,62,.,-1,-1,33.3,50,67,50,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,0,966,66.7,43,71,60,.,.,.,.,-1,-1,-1,12,18,47,-1,-1,-1,17.8,30,1045,64.5,44,59,64
"014908",20.5,26.3,1001,78.1,60,68,76,.,.,.,.,-1,-1,-1,29,71,25,20.1,17.9,993,93.3,57,57,83,-1,14.3,1012,63.6,60,80,64,.,.,.,.,-1,-1,-1,-1,-1,-1,20.9,34.5,1009,67.4,62,74,71,-1,-1,-1,60,-1,-1,-1,-3,14,25,-1,-1,-1,20.1,25.5,999,82.5,60,66,79
"014909",22.4,36.2,1023,60.5,47,61,57,16.9,7.8,864,63,22,39,34,33,41,47,22.2,31.4,1006,63,48,58,62,24.6,29.4,992,40.5,40,56,53,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.6,41,1038,58.3,46,64,54,24,57.1,1153,63.6,70,80,90,14,27,32,17,17,22,24.1,50,1093,69.5,62,75,70
"014910",20.6,27.8,987,57.1,41,52,61,.,.,.,.,-1,-1,-1,38,50,44,21.5,33.3,1013,58.3,43,47,65,-1,0,887,41.2,19,33,41,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.7,20,943,55.6,38,59,56,.,.,.,.,-1,-1,-1,18,23,45,-1,-1,-1,20.9,35.7,1019,62.2,48,59,67
"015801",.,-1,-1,14.8,8,17,15,.,-1,-1,-1,-1,-1,-1,-3,-3,-3,.,-1,-1,8.3,-1,-1,-1,.,-1,-1,15,11,22,10,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,20,11,22,11,.,.,.,.,-1,-1,-1,11,11,20,-1,-1,-1,.,.,.,-1,-1,-1,-1
"015802",.,0,855,20.5,-3,19,19,.,-1,-1,5,-3,25,25,-3,21,21,.,0,818,20,-3,15,25,.,0,853,37.5,-3,14,14,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,22.2,-1,-1,-1,.,.,.,-1,-1,-1,-1,-3,25,17,-1,-1,-1,.,-1,-1,-1,-1,-1,-1
"015803",.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1
"015805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015806",14.7,0,757,97.9,5,16,28,15.7,0,744,-2,13,24,38,8,19,33,14.5,0,743,-2,8,13,36,13.4,0,739,-2,-3,5,24,.,.,.,.,-1,-1,-1,-1,-1,-1,15.4,0,-1,36.8,-3,21,14,.,-1,-1,-1,-1,-1,-1,-3,12,30,-1,-1,-1,.,-1,-1,20,-1,-1,-1
"015807",-1,0,817,26.5,10,24,30,.,-1,-1,8.7,-3,20,10,5,20,29,-1,0,814,27.1,14,23,40,-1,0,794,36.4,7,21,31,.,.,.,.,-1,-1,-1,-1,-1,-1,.,0,822,25.5,5,25,15,.,.,.,-1,-1,-1,-1,5,21,24,-1,-1,-1,.,-1,-1,14.8,27,36,45
"015808",.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"015809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015811",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015812",.,-1,-1,4.3,-3,13,22,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,7.7,-1,-1,-1,.,-1,-1,4.5,-3,14,22,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,0,-3,20,17,.,.,.,.,-1,-1,-1,-3,-3,29,-1,-1,-1,.,.,.,-1,-1,-1,-1
"015813",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"015814",.,-1,-1,6.7,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,11.1,-1,-1,-1,.,-1,-1,6.7,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,0,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
"015815",-1,-1,-1,20,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,22.2,-1,-1,-1,-1,-1,-1,18.2,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.7,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1
"015816",.,-1,-1,9.1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,14.3,-1,-1,-1,.,.,.,0,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1
"015817",-1,-1,-1,4.8,-3,13,20,-1,-1,.,-2,-1,-1,-1,-1,-1,-3,.,-1,-1,3.7,-1,-1,40,.,-1,-1,2.6,-3,13,20,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,6.7,-1,-1,-3,.,.,.,.,-1,-1,-1,-3,13,20,-1,-1,-1,.,.,.,-1,-1,-1,-1
"015819",.,.,.,0,-3,42,18,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,0,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,0,-3,38,14,.,.,.,.,-1,-1,-1,-3,50,22,-1,-1,-1,.,.,.,0,-3,33,25
"015820",.,.,.,0,-1,-1,18,.,.,.,-1,-1,-1,-1,-1,-1,20,.,.,.,0,-1,-1,14,.,.,.,0,-1,-1,11,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,0,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,18,-1,-1,-1,.,.,.,-1,-1,-1,-1
"015822",-1,5,808,87,13,35,21,.,-1,-1,-2,-1,-1,-1,8,33,17,.,8.3,821,100,17,25,33,.,0,765,68.8,6,19,12,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,0,786,72.7,9,45,8,.,.,.,.,-1,-1,-1,5,26,15,-1,-1,-1,-1,0,856,100,17,67,33
