DISTRICT,DA0CA06R,DA0CC06R,DA0CS06R,DA0CT06R,DACRB06R,DACRM06R,DACRR06R,DB0CA06R,DB0CC06R,DB0CS06R,DB0CT06R,DBCRB06R,DBCRM06R,DBCRR06R,DECRB06R,DECRM06R,DECRR06R,DF0CA06R,DF0CC06R,DF0CS06R,DF0CT06R,DFCRB06R,DFCRM06R,DFCRR06R,DH0CA06R,DH0CC06R,DH0CS06R,DH0CT06R,DHCRB06R,DHCRM06R,DHCRR06R,DI0CA06R,DI0CC06R,DI0CS06R,DI0CT06R,DICRB06R,DICRM06R,DICRR06R,DLCRB06R,DLCRM06R,DLCRR06R,DM0CA06R,DM0CC06R,DM0CS06R,DM0CT06R,DMCRB06R,DMCRM06R,DMCRR06R,DP0CA06R,DP0CC06R,DP0CS06R,DP0CT06R,DPCRB06R,DPCRM06R,DPCRR06R,DRCRB06R,DRCRM06R,DRCRR06R,DSCRB06R,DSCRM06R,DSCRR06R,DW0CA06R,DW0CC06R,DW0CS06R,DW0CT06R,DWCRB06R,DWCRM06R,DWCRR06R
"001902",-1,18.2,1025,42.3,27,42,54,.,-1,-1,40,20,20,60,38,38,75,-1,25,1028,57.1,29,29,71,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,-1,-1,25,25,58,33,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,25,1076,42.1,32,53,53
"001903",17.8,6.3,906,48.5,29,46,42,.,-1,-1,-1,-1,-1,-1,7,33,29,-1,5.6,954,58.1,39,50,64,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,17.6,7.1,833,40,20,43,26,.,.,.,.,.,.,.,0,0,25,-1,-1,-1,17.9,7.1,921,45.9,31,50,41
"001904",21.2,32,998,50,43,66,47,.,-1,-1,-1,-1,-1,-1,38,62,46,-1,23.1,1005,59.1,43,57,48,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,41.7,991,42.9,42,73,46,.,.,.,-1,-1,-1,-1,11,22,11,.,.,.,-1,36.4,1015,51.2,50,75,55
"001906",21.9,30,-1,55.6,31,63,38,.,.,.,-1,-1,-1,-1,.,.,.,22.5,37.5,-1,80,56,67,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,25,0,57,0,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,21.9,30,-1,58.8,33,67,40
"001907",21.2,25.3,1013,50.9,24,57,31,-1,0,876,34.4,0,27,3,9,44,10,21.4,20.5,1018,45.3,21,56,28,18.7,9.1,973,28.2,30,70,33,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.2,29.5,1009,57.1,28,58,34,.,.,.,-1,.,.,.,11,41,14,-1,-1,-1,21.9,33.9,1050,65.6,32,64,42
"001908",19.9,23.8,982,51.2,26,41,45,.,-1,-1,15.4,0,15,23,42,38,50,20.3,22.2,978,55.1,24,37,50,-1,-1,-1,40,-1,-1,80,.,.,.,.,.,.,.,.,.,.,19.2,26.7,987,45.5,28,47,38,-1,-1,-1,-1,-1,-1,-1,8,28,35,0,14,17,19.8,25.7,1026,55.6,30,46,46
"001909",21,33.3,1072,37.5,20,31,20,.,.,.,-1,-1,-1,-1,0,20,0,-1,20,-1,45.5,18,36,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,20,-1,20,-1,.,.,.,.,.,.,.,0,0,0,.,-1,.,21,33.3,-1,40,21,33,21
"002901",20.8,22,981,51.3,31,41,49,.,-1,-1,-1,-1,-1,-1,7,14,29,22.7,21.1,995,48.1,29,35,53,18.8,4.2,879,35.3,17,24,39,.,.,-1,.,.,.,.,-1,-1,-1,19.9,22.7,970,54.3,33,46,45,-1,-1,-1,-1,-1,-1,-1,6,13,28,0,0,14,22.1,30.9,1034,61.8,42,54,55
"003801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902",19.8,14.9,957,59.7,35,60,48,-1,-1,-1,-1,-1,-1,-1,28,42,42,19.3,8,944,75.8,41,59,57,-1,11.1,913,42.9,32,45,37,.,.,.,.,.,.,.,-1,-1,-1,-1,29.2,981,41.4,29,61,38,.,.,.,-1,-1,-1,-1,15,37,30,-1,-1,-1,22.2,16.4,973,62.2,35,63,49
"003903",17.2,21.9,967,59.1,25,49,32,15.2,0,763,55.2,8,18,20,11,30,19,16.5,19.4,951,59.6,23,42,34,16.2,14.8,927,27.8,10,41,14,.,.,.,-1,.,.,.,14,14,14,17.7,25,983,58,27,57,29,-1,16.7,-1,85.7,29,71,43,3,15,10,0,9,8,21,37,1046,70.6,44,73,48
"003904",-1,17.2,989,57.4,20,33,34,.,-1,-1,-1,-1,-1,-1,10,23,23,-1,19.4,988,56.3,23,36,40,-1,-1,-1,-2,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,13.6,992,59.5,15,29,24,.,.,.,.,.,.,.,2,9,30,0,0,17,-1,18.9,994,54.6,20,35,33
"003905",17.1,6.8,875,60.8,32,39,62,14.6,0,797,64.3,23,38,54,22,31,56,17.5,9.7,873,66,32,34,73,16.1,0,858,62.8,27,32,56,.,.,.,.,.,.,.,-1,-1,-1,16.6,3.6,877,56,31,44,52,.,.,.,.,.,.,.,0,0,25,-1,-1,-1,19.4,17.4,934,57.5,39,47,71
"003906",19.2,0,923,77.3,13,22,30,.,.,.,.,.,.,.,11,11,11,-1,0,-1,77.8,11,11,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,0,928,76.9,14,29,29,.,.,.,.,.,.,.,0,0,17,-1,-1,-1,19.2,0,923,77.3,13,22,30
"003907",20.6,30.8,1001,44.3,29,51,40,-1,-1,.,-1,-1,-1,-1,22,52,33,20.3,16.7,913,42.9,24,47,39,-1,-1,-1,40,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,21.6,53.3,1090,46.9,38,56,41,.,.,.,.,.,.,.,13,29,29,0,0,0,20.8,30.6,1020,46.2,29,49,41
"004901",21.2,35.4,1048,40.7,35,53,48,.,.,.,-1,.,.,.,23,39,33,20.4,34.1,1039,43.6,37,50,54,18.9,31.8,1038,35.5,27,45,39,.,.,.,.,.,.,.,-1,-1,-1,22.4,37.1,1058,37.6,34,57,41,-1,16.7,1020,50,64,82,73,11,29,27,0,0,0,21.9,40,1061,42,37,54,50
"005901",19.5,19.4,936,68.9,50,59,62,.,.,.,.,.,.,.,-1,-1,-1,21.5,25,972,70.6,59,71,65,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,17.3,15.8,911,67.9,45,52,60,.,.,.,.,.,.,.,25,35,50,-1,-1,-1,20.2,20,954,66.7,50,59,62
"005902",23.7,40.5,1111,77.8,54,58,69,.,.,.,.,.,.,.,-1,-1,-1,24.1,31.8,1110,100,55,64,77,-1,-1,.,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,23.4,50,1112,62.5,53,55,63,.,.,.,.,.,.,.,0,0,0,.,-1,.,24.1,41,1115,76.5,55,58,71
