DISTRICT,DA0CA09R,DA0CC09R,DA0CS09R,DA0CT09R,DACRB09R,DACRM09R,DACRR09R,DB0CA09R,DB0CC09R,DB0CS09R,DB0CT09R,DBCRB09R,DBCRM09R,DBCRR09R,DECRB09R,DECRM09R,DECRR09R,DF0CA09R,DF0CC09R,DF0CS09R,DF0CT09R,DFCRB09R,DFCRM09R,DFCRR09R,DH0CA09R,DH0CC09R,DH0CS09R,DH0CT09R,DHCRB09R,DHCRM09R,DHCRR09R,DI0CA09R,DI0CC09R,DI0CS09R,DI0CT09R,DICRB09R,DICRM09R,DICRR09R,DLCRB09R,DLCRM09R,DLCRR09R,DM0CA09R,DM0CC09R,DM0CS09R,DM0CT09R,DMCRB09R,DMCRM09R,DMCRR09R,DP0CA09R,DP0CC09R,DP0CS09R,DP0CT09R,DPCRB09R,DPCRM09R,DPCRR09R,DRCRB09R,DRCRM09R,DRCRR09R,DSCRB09R,DSCRM09R,DSCRR09R,DW0CA09R,DW0CC09R,DW0CS09R,DW0CT09R,DWCRB09R,DWCRM09R,DWCRR09R
"001902",18.4,36.4,993,42.3,59,71,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,1054,53.3,64,75,86,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.3,53,67,53,.,.,.,.,-1,-1,-1,-3,-3,17,-3,-3,-3,-1,37.5,1009,34.8,62,75,69
"001903",20.8,18.8,956,58.2,42,54,58,.,-1,-1,-1,-1,-1,-1,-3,31,15,21.1,15,930,66.7,43,56,60,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,25,996,48,41,51,56,-1,-1,-1,-2,-1,-1,-1,4,14,31,7,6,13,20.5,17.2,957,56.9,44,55,59
"001904",19.6,22.7,959,44,52,63,67,-1,-1,-1,-1,-1,-1,-1,58,73,63,18.2,16.7,933,57.1,71,86,73,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,21.7,30,988,34.5,37,46,63,.,.,.,.,-1,-1,-1,19,19,53,-1,-1,20,19.6,31.3,1015,38.1,50,61,68
"001906",18.9,9.1,816,50,28,52,41,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,20,30,50,.,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,19,14.3,-1,50,32,63,37,.,.,.,.,-1,-1,-1,9,9,18,-3,-3,-3,18.9,10,857,52.6,33,58,46
"001907",20.8,25.4,971,45,38,51,49,16,6.3,818,42.1,11,24,22,17,27,30,21.1,25.7,981,47.3,41,51,51,-1,0,891,28.1,22,33,34,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,20.3,25,958,42.4,35,50,45,-1,-1,.,-1,-1,-1,-1,8,11,19,-3,-3,9,22.8,38.9,1052,52.9,62,76,70
"001908",20.7,13.3,879,80.6,48,66,60,.,0,725,92.3,31,46,33,28,52,37,20.8,12.5,865,94.1,55,65,70,.,9.1,845,84.6,38,62,53,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.3,897,67.3,42,67,51,.,.,.,.,-1,-1,-1,20,39,38,-1,-1,-3,20.7,16.9,920,77.6,53,70,66
"001909",22.8,33.3,971,52.9,55,55,80,.,.,.,.,-1,-1,-1,38,38,63,21.6,20,-1,55.6,70,70,80,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,40,40,80,.,.,.,.,-1,-1,-1,14,14,43,-1,-1,-1,22.8,33.3,971,52.9,55,55,80
"002901",19,16.9,931,42.2,33,50,46,.,.,.,.,-1,-1,-1,18,34,28,19.6,17.5,936,43.5,35,51,55,16.6,7.7,807,30.2,20,43,32,.,.,.,.,-1,-1,-1,-1,-1,-1,18,16,923,40.3,31,48,35,.,-1,-1,-1,-1,-1,-1,5,25,21,-3,17,-3,20.3,21.6,1009,56.9,48,57,63
"003801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902",18.7,22.7,964,63,43,69,52,-1,0,-1,-2,33,83,33,38,64,40,18.1,11.9,934,65.6,41,61,55,-1,0,871,45,29,55,38,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,36.4,1001,60,46,78,50,.,.,.,.,-1,-1,-1,18,31,39,-3,18,11,19.6,29.8,989,60.6,47,72,56
"003903",19.1,22.1,978,46.1,45,60,56,16.5,3.2,835,52.5,31,44,45,30,46,42,19.5,23.1,985,42.7,47,58,61,19.1,24,955,25.8,33,46,49,.,.,.,.,-1,-1,-1,-3,14,-3,18.8,21.2,970,49.5,42,63,52,-1,42.9,1023,77.8,75,75,75,11,24,32,12,23,19,22.6,32.3,1046,50.3,58,77,67
"003904",17.6,18.4,949,35.2,33,46,55,.,.,.,.,-1,-1,-1,21,35,48,-1,5.3,922,36.5,29,38,65,-1,-1,-1,50,14,43,29,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,31.6,980,33.9,36,54,46,.,.,.,.,-1,-1,-1,6,12,35,-1,-1,-1,17.8,20.6,953,34,34,46,57
"003905",18.3,14.1,924,64,42,52,58,17,0,809,75,43,43,61,32,44,48,18.9,19,916,66.7,42,56,52,17.6,10,924,61.2,29,46,44,.,.,.,.,-1,-1,-1,-3,-3,20,17.3,6.9,958,60.4,40,47,66,.,.,.,.,-1,-1,-1,15,19,41,-1,-1,-1,20.6,30.4,991,60.5,57,66,75
"003906",-1,5.9,858,-2,37,56,52,.,.,.,.,-1,-1,-1,29,57,50,-1,0,857,-2,33,44,56,.,-1,-1,-2,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,9.1,858,-2,39,61,50,.,.,.,.,-1,-1,-1,21,29,43,-3,-3,17,-1,6.3,871,-2,36,56,48
